dataset_name,sequence_name,Thresold_ML_Voters,Thresold_Human_Voters,TP,TN,FP,FN,SUM,Precision,Accuracy,Prevalence,Sensitivity-Recall,Specificity,F1 Score,Informedness,Markedness,Diagnostic Odds Ratio,Phi Coefficient,Fowlkes-Mallows Index,Negative Predictive Value,Miss Rate,Fall-out,False Discovery Rate,False Omission Rate,Positive Likelihood Ratio,Negative Likelihood Ratio,Prevalence Threshold,Threat Score
94c_m_As,func,1,1,3,0,1,12,16,0.75,0.1875,0.9375,0.2,0,0.315789474,-0.8,0.75,0.2,-0.447213595,0.387298335,0,0.8,1,0.25,1,0.2,inf,0.25,0.315789474
7_m_Mi,anat,1,1,2,58,8,8,76,0.2,0.789473684,0.131578947,0.2,0.878787879,0.2,0.078787879,0.2,1.65,0.078787879,0.2,0.878787879,0.8,0.121212121,0.8,0.121212121,1.65,0.910344828,0.131578947,0.2
7_m_Mi,anat,1,2,2,58,8,8,76,0.2,0.789473684,0.131578947,0.2,0.878787879,0.2,0.078787879,0.2,1.65,0.078787879,0.2,0.878787879,0.8,0.121212121,0.8,0.121212121,1.65,0.910344828,0.131578947,0.2
7_m_Br,anat,2,2,1,19,0,4,24,1,0.833333333,0.208333333,0.2,1,0.333333333,0.2,1,inf,0.406469422,0.447213595,0.826086957,0.8,0,0,0.173913043,inf,0.8,0.041666667,0.333333333
7_m_Br,anat,3,2,1,19,0,4,24,1,0.833333333,0.208333333,0.2,1,0.333333333,0.2,1,inf,0.406469422,0.447213595,0.826086957,0.8,0,0,0.173913043,inf,0.8,0.041666667,0.333333333
94_m_As,func,1,2,2,4,1,8,15,0.666666667,0.4,0.666666667,0.2,0.8,0.307692308,0,0.666666667,1,0,0.365148372,0.333333333,0.8,0.2,0.333333333,0.666666667,1,1,0.2,0.307692308
117_m_Vr,func,2,3,1,15,0,4,20,1,0.8,0.25,0.2,1,0.333333333,0.2,1,inf,0.397359707,0.447213595,0.789473684,0.8,0,0,0.210526316,inf,0.8,0.05,0.333333333
117_m_Vr,func,3,3,1,15,0,4,20,1,0.8,0.25,0.2,1,0.333333333,0.2,1,inf,0.397359707,0.447213595,0.789473684,0.8,0,0,0.210526316,inf,0.8,0.05,0.333333333
7_r_Se,anat,1,3,1,103,17,4,125,0.055555556,0.832,0.04,0.2,0.858333333,0.086956522,0.058333333,0.055555556,1.411764706,0.032558492,0.105409255,0.962616822,0.8,0.141666667,0.944444444,0.037383178,1.411764706,0.932038835,0.144,0.086956522
7_r_Se,anat,2,3,1,114,6,4,125,0.142857143,0.92,0.04,0.2,0.95,0.166666667,0.15,0.142857143,4,0.127842973,0.169030851,0.966101695,0.8,0.05,0.857142857,0.033898305,4,0.842105263,0.056,0.166666667
94c_m_As,func,2,2,1,10,1,4,16,0.5,0.6875,0.3125,0.2,0.909090909,0.285714286,0.109090909,0.5,2.2,0.152894157,0.316227766,0.714285714,0.8,0.090909091,0.5,0.285714286,2.2,0.88,0.125,0.285714286
94_m_As,func,1,3,1,8,2,4,15,0.333333333,0.6,0.333333333,0.2,0.8,0.25,0,0.333333333,1,0,0.25819889,0.666666667,0.8,0.2,0.666666667,0.333333333,1,1,0.2,0.25
94_m_We,func,1,3,17,165,11,70,263,0.607142857,0.692015209,0.330798479,0.195402299,0.9375,0.295652174,0.132902299,0.607142857,3.126436782,0.202738163,0.344437382,0.70212766,0.804597701,0.0625,0.392857143,0.29787234,3.126436782,0.858237548,0.106463878,0.295652174
117_m_Vr,func,1,1,3,4,0,13,20,1,0.35,0.8,0.1875,1,0.315789474,0.1875,1,inf,0.210042013,0.433012702,0.235294118,0.8125,0,0,0.764705882,inf,0.8125,0.15,0.315789474
94_r_We,diff,1,2,2,18,3,9,32,0.4,0.625,0.34375,0.181818182,0.857142857,0.25,0.038961039,0.4,1.272727273,0.050964719,0.269679945,0.666666667,0.818181818,0.142857143,0.6,0.333333333,1.272727273,0.954545455,0.15625,0.25
117c_m_Ri,diff,1,1,2,5,1,10,18,0.666666667,0.388888889,0.666666667,0.166666667,0.833333333,0.266666667,0,0.666666667,1,0,0.333333333,0.333333333,0.833333333,0.166666667,0.333333333,0.666666667,1,1,0.166666667,0.266666667
7_m_Lo,diff,2,3,2,24,0,10,36,1,0.722222222,0.333333333,0.166666667,1,0.285714286,0.166666667,1,inf,0.34299717,0.40824829,0.705882353,0.833333333,0,0,0.294117647,inf,0.833333333,0.055555556,0.285714286
7_m_St,anat,1,3,1,11,2,5,19,0.333333333,0.631578947,0.315789474,0.166666667,0.846153846,0.222222222,0.012820513,0.333333333,1.083333333,0.016343011,0.23570226,0.6875,0.833333333,0.153846154,0.666666667,0.3125,1.083333333,0.984848485,0.157894737,0.222222222
7_m_Ca,diff,2,1,1,12,0,5,18,1,0.722222222,0.333333333,0.166666667,1,0.285714286,0.166666667,1,inf,0.34299717,0.40824829,0.705882353,0.833333333,0,0,0.294117647,inf,0.833333333,0.055555556,0.285714286
7_rab_Mu,diff,1,1,1,15,3,5,24,0.25,0.666666667,0.25,0.166666667,0.833333333,0.2,0,0.25,1,0,0.204124145,0.75,0.833333333,0.166666667,0.75,0.25,1,1,0.166666667,0.2
94_r_Fr,anat,1,1,24,510,58,129,721,0.292682927,0.740638003,0.21220527,0.156862745,0.897887324,0.204255319,0.054750069,0.292682927,1.53617309,0.070509429,0.214268634,0.798122066,0.843137255,0.102112676,0.707317073,0.201877934,1.53617309,0.939023453,0.113730929,0.204255319
94_r_We,diff,1,1,5,0,0,27,32,1,0.15625,1,0.15625,,0.27027027,,1,,0,0.395284708,0,0.84375,,0,1,,,0.15625,0.27027027
164_m_Ku,anat,1,3,17,323,29,93,462,0.369565217,0.735930736,0.238095238,0.154545455,0.917613636,0.217948718,0.072159091,0.369565217,1.875862069,0.1026439,0.238986662,0.776442308,0.845454545,0.082386364,0.630434783,0.223557692,1.875862069,0.921362229,0.0995671,0.217948718
7_m_Se,diff,1,1,12,17,3,68,100,0.8,0.29,0.8,0.15,0.85,0.252631579,0,0.8,1,0,0.346410162,0.2,0.85,0.15,0.2,0.8,1,1,0.15,0.252631579
7_m_Mi,anat,1,3,1,60,9,6,76,0.1,0.802631579,0.092105263,0.142857143,0.869565217,0.117647059,0.01242236,0.1,1.095238095,0.010626879,0.119522861,0.909090909,0.857142857,0.130434783,0.9,0.090909091,1.095238095,0.985714286,0.131578947,0.117647059
7_m_Br,diff,1,1,6,0,0,37,43,1,0.139534884,1,0.139534884,,0.244897959,,1,,0,0.373543684,0,0.860465116,,0,1,,,0.139534884,0.244897959
7_r_Se,anat,1,1,3,88,15,19,125,0.166666667,0.728,0.176,0.136363636,0.854368932,0.15,-0.009267432,0.166666667,0.936363636,-0.010052202,0.150755672,0.822429907,0.863636364,0.145631068,0.833333333,0.177570093,0.936363636,1.010847107,0.144,0.15
7_r_Se,anat,2,1,3,99,4,19,125,0.428571429,0.816,0.176,0.136363636,0.961165049,0.206896552,0.097528685,0.428571429,3.511363636,0.161537106,0.241746889,0.838983051,0.863636364,0.038834951,0.571428571,0.161016949,3.511363636,0.898530762,0.056,0.206896552
7_m_Se,diff,1,3,1,78,14,7,100,0.066666667,0.79,0.08,0.125,0.847826087,0.086956522,-0.027173913,0.066666667,0.821428571,-0.020646003,0.091287093,0.917647059,0.875,0.152173913,0.933333333,0.082352941,0.821428571,1.032051282,0.15,0.086956522
117_m_Vr,func,2,2,1,12,0,7,20,1,0.65,0.4,0.125,1,0.222222222,0.125,1,inf,0.280975743,0.353553391,0.631578947,0.875,0,0,0.368421053,inf,0.875,0.05,0.222222222
117_m_Vr,func,3,2,1,12,0,7,20,1,0.65,0.4,0.125,1,0.222222222,0.125,1,inf,0.280975743,0.353553391,0.631578947,0.875,0,0,0.368421053,inf,0.875,0.05,0.222222222
7_m_Br,anat,1,1,3,0,0,21,24,1,0.125,1,0.125,,0.222222222,,1,,0,0.353553391,0,0.875,,0,1,,,0.125,0.222222222
117_m_Ra,anat,1,1,1,276,42,7,326,0.023255814,0.849693252,0.024539877,0.125,0.867924528,0.039215686,-0.007075472,0.023255814,0.946428571,-0.003235091,0.053916387,0.975265018,0.875,0.132075472,0.976744186,0.024734982,0.946428571,1.008152174,0.13190184,0.039215686
117_m_Ra,anat,2,1,1,310,8,7,326,0.111111111,0.95398773,0.024539877,0.125,0.974842767,0.117647059,0.099842767,0.111111111,4.96875,0.094281021,0.11785113,0.977917981,0.875,0.025157233,0.888888889,0.022082019,4.96875,0.897580645,0.027607362,0.117647059
7_m_St,anat,1,2,1,9,2,7,19,0.333333333,0.526315789,0.421052632,0.125,0.818181818,0.181818182,-0.056818182,0.333333333,0.6875,-0.076932182,0.204124145,0.5625,0.875,0.181818182,0.666666667,0.4375,0.6875,1.069444444,0.157894737,0.181818182
94_m_Va,anat,1,1,1,47,7,7,62,0.125,0.774193548,0.129032258,0.125,0.87037037,0.125,-0.00462963,0.125,0.964285714,-0.00462963,0.125,0.87037037,0.875,0.12962963,0.875,0.12962963,0.964285714,1.005319149,0.129032258,0.125
94_m_Va,anat,2,1,1,52,2,7,62,0.333333333,0.85483871,0.129032258,0.125,0.962962963,0.181818182,0.087962963,0.333333333,3.375,0.137421628,0.204124145,0.881355932,0.875,0.037037037,0.666666667,0.118644068,3.375,0.908653846,0.048387097,0.181818182
94_m_Va,anat,3,1,1,53,1,7,62,0.5,0.870967742,0.129032258,0.125,0.981481481,0.2,0.106481481,0.5,6.75,0.202034406,0.25,0.883333333,0.875,0.018518519,0.5,0.116666667,6.75,0.891509434,0.032258065,0.2
7_m_Lo,diff,2,2,2,20,0,14,36,1,0.611111111,0.444444444,0.125,1,0.222222222,0.125,1,inf,0.271163072,0.353553391,0.588235294,0.875,0,0,0.411764706,inf,0.875,0.055555556,0.222222222
94_r_Fr,diff,2,1,3,175,11,21,210,0.214285714,0.847619048,0.114285714,0.125,0.940860215,0.157894737,0.065860215,0.214285714,2.113636364,0.084002688,0.163663418,0.892857143,0.875,0.059139785,0.785714286,0.107142857,2.113636364,0.93,0.066666667,0.157894737
164_m_Ku,diff,1,2,2,120,13,15,150,0.133333333,0.813333333,0.113333333,0.117647059,0.902255639,0.125,0.019902698,0.133333333,1.20361991,0.021030506,0.125244858,0.888888889,0.882352941,0.097744361,0.866666667,0.111111111,1.20361991,0.977941176,0.1,0.125
164_m_Ku,diff,2,2,2,127,6,15,150,0.25,0.86,0.113333333,0.117647059,0.954887218,0.16,0.072534277,0.25,2.607843137,0.102330336,0.171498585,0.894366197,0.882352941,0.045112782,0.75,0.105633803,2.607843137,0.924038907,0.053333333,0.16
164_m_Ku,diff,3,2,2,129,4,15,150,0.333333333,0.873333333,0.113333333,0.117647059,0.969924812,0.173913043,0.087571871,0.333333333,3.911764706,0.141663523,0.198029509,0.895833333,0.882352941,0.030075188,0.666666667,0.104166667,3.911764706,0.909712722,0.04,0.173913043
7_rab_Mu,anat,2,1,1,15,0,8,24,1,0.666666667,0.375,0.111111111,1,0.2,0.111111111,1,inf,0.269190951,0.333333333,0.652173913,0.888888889,0,0,0.347826087,inf,0.888888889,0.041666667,0.2
7_rab_Mu,anat,3,1,1,15,0,8,24,1,0.666666667,0.375,0.111111111,1,0.2,0.111111111,1,inf,0.269190951,0.333333333,0.652173913,0.888888889,0,0,0.347826087,inf,0.888888889,0.041666667,0.2
164_m_Ku,anat,1,1,40,86,6,330,462,0.869565217,0.272727273,0.800865801,0.108108108,0.934782609,0.192307692,0.042890717,0.869565217,1.657657658,0.057204804,0.306605692,0.206730769,0.891891892,0.065217391,0.130434783,0.793269231,1.657657658,0.954116908,0.0995671,0.192307692
7_m_Se,diff,1,2,3,60,12,25,100,0.2,0.63,0.28,0.107142857,0.833333333,0.139534884,-0.05952381,0.2,0.642857143,-0.074848119,0.146385011,0.705882353,0.892857143,0.166666667,0.8,0.294117647,0.642857143,1.071428571,0.15,0.139534884
94_m_We,func,1,4,0,88,8,67,171,0.5,0.561403509,0.438596491,0.106666667,0.916666667,0.175824176,0.023333333,0.5,1.28,0.039757328,0.230940108,0.567741935,0.893333333,0.083333333,0.5,0.432258065,1.28,0.974545455,0.093567251,0.175824176
164_m_Ku,anat,1,2,36,109,10,307,462,0.782608696,0.313852814,0.742424242,0.104956268,0.915966387,0.185089974,0.020922655,0.782608696,1.248979592,0.030557073,0.286600224,0.262019231,0.895043732,0.084033613,0.217391304,0.737980769,1.248979592,0.977157836,0.0995671,0.185089974
94_m_As,func,2,2,1,5,0,9,15,1,0.4,0.666666667,0.1,1,0.181818182,0.1,1,inf,0.188982237,0.316227766,0.357142857,0.9,0,0,0.642857143,inf,0.9,0.066666667,0.181818182
94_m_As,func,3,2,1,5,0,9,15,1,0.4,0.666666667,0.1,1,0.181818182,0.1,1,inf,0.188982237,0.316227766,0.357142857,0.9,0,0,0.642857143,inf,0.9,0.066666667,0.181818182
7_m_Mi,anat,2,1,1,64,2,9,76,0.333333333,0.855263158,0.131578947,0.1,0.96969697,0.153846154,0.06969697,0.333333333,3.3,0.120993992,0.182574186,0.876712329,0.9,0.03030303,0.666666667,0.123287671,3.3,0.928125,0.039473684,0.153846154
7_m_Mi,anat,2,2,1,64,2,9,76,0.333333333,0.855263158,0.131578947,0.1,0.96969697,0.153846154,0.06969697,0.333333333,3.3,0.120993992,0.182574186,0.876712329,0.9,0.03030303,0.666666667,0.123287671,3.3,0.928125,0.039473684,0.153846154
7_m_Mi,anat,3,1,1,64,2,9,76,0.333333333,0.855263158,0.131578947,0.1,0.96969697,0.153846154,0.06969697,0.333333333,3.3,0.120993992,0.182574186,0.876712329,0.9,0.03030303,0.666666667,0.123287671,3.3,0.928125,0.039473684,0.153846154
7_m_Mi,anat,3,2,1,64,2,9,76,0.333333333,0.855263158,0.131578947,0.1,0.96969697,0.153846154,0.06969697,0.333333333,3.3,0.120993992,0.182574186,0.876712329,0.9,0.03030303,0.666666667,0.123287671,3.3,0.928125,0.039473684,0.153846154
94_m_We,func,1,2,18,70,10,165,263,0.642857143,0.33460076,0.69581749,0.098360656,0.875,0.170616114,-0.026639344,0.642857143,0.786885246,-0.039735723,0.25145944,0.29787234,0.901639344,0.125,0.357142857,0.70212766,0.786885246,1.030444965,0.106463878,0.170616114
117c_m_Ri,func,1,1,1,5,2,10,18,0.333333333,0.333333333,0.611111111,0.090909091,0.714285714,0.142857143,-0.194805195,0.333333333,0.318181818,-0.254823596,0.174077656,0.333333333,0.909090909,0.285714286,0.666666667,0.666666667,0.318181818,1.272727273,0.166666667,0.142857143
